center,left,right,steering,throttle,brake,speed
IMG/center_2016_12_01_13_31_12_937.jpg, IMG/left_2016_12_01_13_31_12_937.jpg, IMG/right_2016_12_01_13_31_12_937.jpg,0,0,0,1.453011
IMG/center_2016_12_01_13_31_13_037.jpg, IMG/left_2016_12_01_13_31_13_037.jpg, IMG/right_2016_12_01_13_31_13_037.jpg,0,0,0,1.438419
IMG/center_2016_12_01_13_32_43_457.jpg, IMG/left_2016_12_01_13_32_43_457.jpg, IMG/right_2016_12_01_13_32_43_457.jpg,0.0617599,0.9855326,0,2.124567
IMG/center_2016_12_01_13_32_43_558.jpg, IMG/left_2016_12_01_13_32_43_558.jpg, IMG/right_2016_12_01_13_32_43_558.jpg,0.05219137,0.9855326,0,3.286475
IMG/center_2016_12_01_13_32_43_659.jpg, IMG/left_2016_12_01_13_32_43_659.jpg, IMG/right_2016_12_01_13_32_43_659.jpg,0.05219137,0.9855326,0,4.440864
IMG/center_2016_12_01_13_32_43_761.jpg, IMG/left_2016_12_01_13_32_43_761.jpg, IMG/right_2016_12_01_13_32_43_761.jpg,0.3679529,0.9855326,0,5.565724
IMG/center_2016_12_01_13_32_43_862.jpg, IMG/left_2016_12_01_13_32_43_862.jpg, IMG/right_2016_12_01_13_32_43_862.jpg,0.5784606,0.9855326,0,6.626935
IMG/center_2016_12_01_13_32_43_963.jpg, IMG/left_2016_12_01_13_32_43_963.jpg, IMG/right_2016_12_01_13_32_43_963.jpg,0.5784606,0.9855326,0,7.730138
IMG/center_2016_12_01_13_32_44_064.jpg, IMG/left_2016_12_01_13_32_44_064.jpg, IMG/right_2016_12_01_13_32_44_064.jpg,0.1670138,0.9855326,0,8.83677
IMG/center_2016_12_01_13_32_45_275.jpg, IMG/left_2016_12_01_13_32_45_275.jpg, IMG/right_2016_12_01_13_32_45_275.jpg,0.08089697,0.9855326,0,21.52514
IMG/center_2016_12_01_13_32_45_377.jpg, IMG/left_2016_12_01_13_32_45_377.jpg, IMG/right_2016_12_01_13_32_45_377.jpg,0.0904655,0.9855326,0,22.49719
IMG/center_2016_12_01_13_32_45_477.jpg, IMG/left_2016_12_01_13_32_45_477.jpg, IMG/right_2016_12_01_13_32_45_477.jpg,0.0904655,0.9855326,0,23.45835
IMG/center_2016_12_01_13_32_45_578.jpg, IMG/left_2016_12_01_13_32_45_578.jpg, IMG/right_2016_12_01_13_32_45_578.jpg,0.1574452,0.9855326,0,24.40969
IMG/center_2016_12_01_13_32_45_679.jpg, IMG/left_2016_12_01_13_32_45_679.jpg, IMG/right_2016_12_01_13_32_45_679.jpg,0.1765823,0.9855326,0,25.34023
IMG/center_2016_12_01_13_32_45_780.jpg, IMG/left_2016_12_01_13_32_45_780.jpg, IMG/right_2016_12_01_13_32_45_780.jpg,0.1765823,0.9855326,0,26.26871
IMG/center_2016_12_01_13_32_46_185.jpg, IMG/left_2016_12_01_13_32_46_185.jpg, IMG/right_2016_12_01_13_32_46_185.jpg,-0.0787459,0.9855326,0,29.91009
IMG/center_2016_12_01_13_32_46_285.jpg, IMG/left_2016_12_01_13_32_46_285.jpg, IMG/right_2016_12_01_13_32_46_285.jpg,-0.0787459,0.9855326,0,30.18595
IMG/center_2016_12_01_13_32_46_385.jpg, IMG/left_2016_12_01_13_32_46_385.jpg, IMG/right_2016_12_01_13_32_46_385.jpg,-0.0787459,0.9855326,0,30.18617
IMG/center_2016_12_01_13_32_46_486.jpg, IMG/left_2016_12_01_13_32_46_486.jpg, IMG/right_2016_12_01_13_32_46_486.jpg,-0.0787459,0.9855326,0,30.18633
IMG/center_2016_12_01_13_32_46_991.jpg, IMG/left_2016_12_01_13_32_46_991.jpg, IMG/right_2016_12_01_13_32_46_991.jpg,0.05219137,0.9855326,0,30.18593
IMG/center_2016_12_01_13_32_47_091.jpg, IMG/left_2016_12_01_13_32_47_091.jpg, IMG/right_2016_12_01_13_32_47_091.jpg,0.05219137,0.9855326,0,30.18629
IMG/center_2016_12_01_13_32_47_192.jpg, IMG/left_2016_12_01_13_32_47_192.jpg, IMG/right_2016_12_01_13_32_47_192.jpg,0.0904655,0.9855326,0,30.08726
IMG/center_2016_12_01_13_32_47_293.jpg, IMG/left_2016_12_01_13_32_47_293.jpg, IMG/right_2016_12_01_13_32_47_293.jpg,0.38709,0.9855326,0,30.18586
IMG/center_2016_12_01_13_32_47_394.jpg, IMG/left_2016_12_01_13_32_47_394.jpg, IMG/right_2016_12_01_13_32_47_394.jpg,0.3583844,0.9855326,0,30.0653
IMG/center_2016_12_01_13_32_47_495.jpg, IMG/left_2016_12_01_13_32_47_495.jpg, IMG/right_2016_12_01_13_32_47_495.jpg,0.05219137,0.9855326,0,30.20486
IMG/center_2016_12_01_13_32_48_098.jpg, IMG/left_2016_12_01_13_32_48_098.jpg, IMG/right_2016_12_01_13_32_48_098.jpg,-0.03127411,0.9855326,0,30.1869
IMG/center_2016_12_01_13_32_48_200.jpg, IMG/left_2016_12_01_13_32_48_200.jpg, IMG/right_2016_12_01_13_32_48_200.jpg,-0.05975719,0.9855326,0,30.1865
IMG/center_2016_12_01_13_32_48_302.jpg, IMG/left_2016_12_01_13_32_48_302.jpg, IMG/right_2016_12_01_13_32_48_302.jpg,-0.05975719,0.9855326,0,30.18676
IMG/center_2016_12_01_13_32_48_402.jpg, IMG/left_2016_12_01_13_32_48_402.jpg, IMG/right_2016_12_01_13_32_48_402.jpg,-0.05975719,0.9855326,0,30.18687
IMG/center_2016_12_01_13_32_48_503.jpg, IMG/left_2016_12_01_13_32_48_503.jpg, IMG/right_2016_12_01_13_32_48_503.jpg,-0.05975719,0.9855326,0,30.18692
IMG/center_2016_12_01_13_32_48_604.jpg, IMG/left_2016_12_01_13_32_48_604.jpg, IMG/right_2016_12_01_13_32_48_604.jpg,-0.05975719,0.9855326,0,30.18694
IMG/center_2016_12_01_13_32_48_705.jpg, IMG/left_2016_12_01_13_32_48_705.jpg, IMG/right_2016_12_01_13_32_48_705.jpg,-0.05975719,0.9855326,0,30.18695
IMG/center_2016_12_01_13_32_48_805.jpg, IMG/left_2016_12_01_13_32_48_805.jpg, IMG/right_2016_12_01_13_32_48_805.jpg,-0.05975719,0.9855326,0,30.18692
IMG/center_2016_12_01_13_32_48_906.jpg, IMG/left_2016_12_01_13_32_48_906.jpg, IMG/right_2016_12_01_13_32_48_906.jpg,-0.05975719,0.9855326,0,30.18688
IMG/center_2016_12_01_13_32_49_008.jpg, IMG/left_2016_12_01_13_32_49_008.jpg, IMG/right_2016_12_01_13_32_49_008.jpg,-0.05975719,0.9855326,0,30.18689
IMG/center_2016_12_01_13_32_49_109.jpg, IMG/left_2016_12_01_13_32_49_109.jpg, IMG/right_2016_12_01_13_32_49_109.jpg,-0.05975719,0.9855326,0,30.18686
IMG/center_2016_12_01_13_32_49_210.jpg, IMG/left_2016_12_01_13_32_49_210.jpg, IMG/right_2016_12_01_13_32_49_210.jpg,-0.04076847,0.9855326,0,30.18702
IMG/center_2016_12_01_13_32_49_514.jpg, IMG/left_2016_12_01_13_32_49_514.jpg, IMG/right_2016_12_01_13_32_49_514.jpg,0.01391724,0.9855326,0,30.18683
IMG/center_2016_12_01_13_32_49_615.jpg, IMG/left_2016_12_01_13_32_49_615.jpg, IMG/right_2016_12_01_13_32_49_615.jpg,0.01391724,0.9855326,0,30.18687
IMG/center_2016_12_01_13_32_49_715.jpg, IMG/left_2016_12_01_13_32_49_715.jpg, IMG/right_2016_12_01_13_32_49_715.jpg,0.01391724,0.9855326,0,30.1869
IMG/center_2016_12_01_13_32_51_437.jpg, IMG/left_2016_12_01_13_32_51_437.jpg, IMG/right_2016_12_01_13_32_51_437.jpg,0.01391724,0.9855326,0,30.18687
IMG/center_2016_12_01_13_32_51_538.jpg, IMG/left_2016_12_01_13_32_51_538.jpg, IMG/right_2016_12_01_13_32_51_538.jpg,0.1287396,0.9855326,0,30.18258
IMG/center_2016_12_01_13_32_51_639.jpg, IMG/left_2016_12_01_13_32_51_639.jpg, IMG/right_2016_12_01_13_32_51_639.jpg,0.2148564,0.9855326,0,30.17934
IMG/center_2016_12_01_13_32_51_740.jpg, IMG/left_2016_12_01_13_32_51_740.jpg, IMG/right_2016_12_01_13_32_51_740.jpg,0.2148564,0.9855326,0,30.18322
IMG/center_2016_12_01_13_32_52_350.jpg, IMG/left_2016_12_01_13_32_52_350.jpg, IMG/right_2016_12_01_13_32_52_350.jpg,-0.08824026,0.9855326,0,30.18482
IMG/center_2016_12_01_13_32_52_450.jpg, IMG/left_2016_12_01_13_32_52_450.jpg, IMG/right_2016_12_01_13_32_52_450.jpg,-0.2306556,0.9855326,0,30.17673
IMG/center_2016_12_01_13_32_52_551.jpg, IMG/left_2016_12_01_13_32_52_551.jpg, IMG/right_2016_12_01_13_32_52_551.jpg,-0.2306556,0.9855326,0,30.18209
IMG/center_2016_12_01_13_32_52_652.jpg, IMG/left_2016_12_01_13_32_52_652.jpg, IMG/right_2016_12_01_13_32_52_652.jpg,-0.1547008,0.9855326,0,30.18752
IMG/center_2016_12_01_13_32_52_753.jpg, IMG/left_2016_12_01_13_32_52_753.jpg, IMG/right_2016_12_01_13_32_52_753.jpg,-0.0787459,0.9855326,0,30.18809
IMG/center_2016_12_01_13_32_53_055.jpg, IMG/left_2016_12_01_13_32_53_055.jpg, IMG/right_2016_12_01_13_32_53_055.jpg,0.04262284,0.9855326,0,30.18617
IMG/center_2016_12_01_13_32_53_156.jpg, IMG/left_2016_12_01_13_32_53_156.jpg, IMG/right_2016_12_01_13_32_53_156.jpg,0.1574452,0.9855326,0,30.18212
IMG/center_2016_12_01_13_32_53_257.jpg, IMG/left_2016_12_01_13_32_53_257.jpg, IMG/right_2016_12_01_13_32_53_257.jpg,0.1478767,0.9855326,0,30.18493
IMG/center_2016_12_01_13_32_53_357.jpg, IMG/left_2016_12_01_13_32_53_357.jpg, IMG/right_2016_12_01_13_32_53_357.jpg,0.1765823,0.9855326,0,30.1844
IMG/center_2016_12_01_13_32_53_459.jpg, IMG/left_2016_12_01_13_32_53_459.jpg, IMG/right_2016_12_01_13_32_53_459.jpg,0.2531306,0.9855326,0,30.18125
IMG/center_2016_12_01_13_32_53_764.jpg, IMG/left_2016_12_01_13_32_53_764.jpg, IMG/right_2016_12_01_13_32_53_764.jpg,-0.135712,0.9855326,0,30.18072
IMG/center_2016_12_01_13_32_53_865.jpg, IMG/left_2016_12_01_13_32_53_865.jpg, IMG/right_2016_12_01_13_32_53_865.jpg,-0.2781274,0.9855326,0,30.17109
IMG/center_2016_12_01_13_32_53_966.jpg, IMG/left_2016_12_01_13_32_53_966.jpg, IMG/right_2016_12_01_13_32_53_966.jpg,-0.3255992,0.9855326,0,30.17414
IMG/center_2016_12_01_13_32_54_067.jpg, IMG/left_2016_12_01_13_32_54_067.jpg, IMG/right_2016_12_01_13_32_54_067.jpg,-0.2591387,0.9855326,0,30.18523
IMG/center_2016_12_01_13_32_54_371.jpg, IMG/left_2016_12_01_13_32_54_371.jpg, IMG/right_2016_12_01_13_32_54_371.jpg,0.03305431,0.9855326,0,30.18616
IMG/center_2016_12_01_13_32_54_472.jpg, IMG/left_2016_12_01_13_32_54_472.jpg, IMG/right_2016_12_01_13_32_54_472.jpg,0.04262284,0.9855326,0,30.18641
IMG/center_2016_12_01_13_32_54_574.jpg, IMG/left_2016_12_01_13_32_54_574.jpg, IMG/right_2016_12_01_13_32_54_574.jpg,0.0904655,0.9855326,0,30.18558
IMG/center_2016_12_01_13_32_54_674.jpg, IMG/left_2016_12_01_13_32_54_674.jpg, IMG/right_2016_12_01_13_32_54_674.jpg,0.1574452,0.9855326,0,30.18276
IMG/center_2016_12_01_13_32_54_775.jpg, IMG/left_2016_12_01_13_32_54_775.jpg, IMG/right_2016_12_01_13_32_54_775.jpg,0.243562,0.9855326,0,30.1786
IMG/center_2016_12_01_13_32_54_875.jpg, IMG/left_2016_12_01_13_32_54_875.jpg, IMG/right_2016_12_01_13_32_54_875.jpg,0.2626991,0.9855326,0,30.18091
IMG/center_2016_12_01_13_32_54_976.jpg, IMG/left_2016_12_01_13_32_54_976.jpg, IMG/right_2016_12_01_13_32_54_976.jpg,0.2626991,0.9855326,0,30.18353
IMG/center_2016_12_01_13_32_55_078.jpg, IMG/left_2016_12_01_13_32_55_078.jpg, IMG/right_2016_12_01_13_32_55_078.jpg,0.2626991,0.9855326,0,30.18476
IMG/center_2016_12_01_13_32_55_786.jpg, IMG/left_2016_12_01_13_32_55_786.jpg, IMG/right_2016_12_01_13_32_55_786.jpg,-0.06925154,0.9855326,0,30.18534
IMG/center_2016_12_01_13_32_55_888.jpg, IMG/left_2016_12_01_13_32_55_888.jpg, IMG/right_2016_12_01_13_32_55_888.jpg,-0.06925154,0.9855326,0,30.18605
IMG/center_2016_12_01_13_32_55_988.jpg, IMG/left_2016_12_01_13_32_55_988.jpg, IMG/right_2016_12_01_13_32_55_988.jpg,-0.06925154,0.9855326,0,30.18629
IMG/center_2016_12_01_13_32_56_089.jpg, IMG/left_2016_12_01_13_32_56_089.jpg, IMG/right_2016_12_01_13_32_56_089.jpg,-0.06925154,0.9855326,0,30.18645
IMG/center_2016_12_01_13_32_56_191.jpg, IMG/left_2016_12_01_13_32_56_191.jpg, IMG/right_2016_12_01_13_32_56_191.jpg,-0.05975719,0.9855326,0,30.1866
IMG/center_2016_12_01_13_32_56_897.jpg, IMG/left_2016_12_01_13_32_56_897.jpg, IMG/right_2016_12_01_13_32_56_897.jpg,0.01391724,0.9855326,0,30.18659
IMG/center_2016_12_01_13_32_56_999.jpg, IMG/left_2016_12_01_13_32_56_999.jpg, IMG/right_2016_12_01_13_32_56_999.jpg,0.01391724,0.9855326,0,30.18658
IMG/center_2016_12_01_13_32_57_101.jpg, IMG/left_2016_12_01_13_32_57_101.jpg, IMG/right_2016_12_01_13_32_57_101.jpg,0.01391724,0.9855326,0,30.18663
IMG/center_2016_12_01_13_32_57_203.jpg, IMG/left_2016_12_01_13_32_57_203.jpg, IMG/right_2016_12_01_13_32_57_203.jpg,0.1670138,0.9855326,0,30.17978
IMG/center_2016_12_01_13_32_57_304.jpg, IMG/left_2016_12_01_13_32_57_304.jpg, IMG/right_2016_12_01_13_32_57_304.jpg,0.3488158,0.9855326,0,30.16541
IMG/center_2016_12_01_13_32_57_405.jpg, IMG/left_2016_12_01_13_32_57_405.jpg, IMG/right_2016_12_01_13_32_57_405.jpg,0.3488158,0.9855326,0,30.17626
IMG/center_2016_12_01_13_32_57_507.jpg, IMG/left_2016_12_01_13_32_57_507.jpg, IMG/right_2016_12_01_13_32_57_507.jpg,0.0904655,0.9855326,0,30.18829
IMG/center_2016_12_01_13_32_57_709.jpg, IMG/left_2016_12_01_13_32_57_709.jpg, IMG/right_2016_12_01_13_32_57_709.jpg,-0.1167233,0.9855326,0,30.18136
IMG/center_2016_12_01_13_32_57_810.jpg, IMG/left_2016_12_01_13_32_57_810.jpg, IMG/right_2016_12_01_13_32_57_810.jpg,-0.1167233,0.9855326,0,30.18439
